,model_t,model_y,fold,file_name,time_model_t,time_model_y,f1_score_model_t,f1_score_model_y,mse_model_y
0,RandomForestClassifier,RandomForestClassifier,0,high3191,0.0387852191925048,0.0380537509918212,0.6388848332801005,0.6812050875076715,
1,RandomForestClassifier,RandomForestClassifier,1,high3191,0.0674309730529785,0.0698409080505371,0.6982549707602338,0.6985131775536992,
2,RandomForestClassifier,RandomForestClassifier,0,high2648,0.3744730949401855,0.3221800327301025,0.6553088388640128,0.990628339735205,
3,RandomForestClassifier,RandomForestClassifier,1,high2648,0.3510298728942871,0.3506150245666504,0.647694876302232,0.9906301153142296,
4,RandomForestClassifier,RandomForestClassifier,0,low2068,0.0309457778930664,0.031337022781372,0.6521945945945946,0.8227041866849691,
5,RandomForestClassifier,RandomForestClassifier,1,low2068,0.0173859596252441,0.0180468559265136,0.5994196461618181,0.8363748524667558,
6,RandomForestClassifier,RandomForestClassifier,0,low2487,0.0180280208587646,0.0176277160644531,0.6986532148290495,0.9799104493715272,
7,RandomForestClassifier,RandomForestClassifier,1,low2487,0.0644838809967041,0.0685260295867919,0.7364475524475524,0.8613890921245658,
8,RandomForestClassifier,RandomForestRegressor,0,high432,0.1208951473236084,0.4738118648529053,1.0,,0.3427953400584584
9,RandomForestClassifier,ElasticNetCV,0,high432,0.0941939353942871,0.1100237369537353,1.0,,0.9786622955491052
10,RandomForestClassifier,RandomForestRegressor,1,high432,0.1189088821411132,0.5406219959259033,1.0,,0.304589068810342
11,RandomForestClassifier,ElasticNetCV,1,high432,0.1336128711700439,0.1025528907775878,1.0,,1.414091947633493
12,RandomForestClassifier,RandomForestRegressor,0,high397,0.1905109882354736,0.5998430252075195,1.0,,5.967092085179931
13,RandomForestClassifier,ElasticNetCV,0,high397,0.1101100444793701,0.132667064666748,1.0,,19.144534392184053
14,RandomForestClassifier,RandomForestRegressor,1,high397,0.0719301700592041,1.0613551139831543,0.981993150108757,,3.8893907121897224
15,RandomForestClassifier,ElasticNetCV,1,high397,0.1985228061676025,0.2051670551300048,1.0,,9.957595915629373
16,RandomForestClassifier,RandomForestRegressor,0,low1987,0.4415760040283203,0.3606400489807129,0.9947575842966678,,75.60574734397963
17,RandomForestClassifier,ElasticNetCV,0,low1987,0.4877920150756836,0.0321950912475585,0.9989531329201232,,181.57292268867687
18,RandomForestClassifier,RandomForestRegressor,1,low1987,0.3611500263214111,0.4038970470428467,0.8623783174534724,,56.51691182107233
19,RandomForestClassifier,ElasticNetCV,1,low1987,0.2253921031951904,0.0287320613861084,0.9905513819938464,,178.96250823959187
20,RandomForestClassifier,RandomForestRegressor,0,low1038,0.017453908920288086,0.026103973388671875,1.0,,2.2345971072320254
21,RandomForestClassifier,ElasticNetCV,0,low1038,0.01631307601928711,0.016904115676879883,0.8478252813000073,,5.5372275326935005
22,RandomForestClassifier,RandomForestRegressor,1,low1038,0.032402992248535156,0.027012109756469727,0.9491451434620835,,2.3053669218724377
23,RandomForestClassifier,ElasticNetCV,1,low1038,0.015376091003417969,0.01670980453491211,0.8206530032035544,,5.608821256310004
